Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Abdou Diallo,2019-2020,23,Paris S-G,0.4,73.8,80,92.3,0.1,501.6,7.9,197.6,1.6,0.1,1,0.2,0.1,0.8,61.5,0.3,1.8,0.5,0.8,0.6,0.4,0.7,0.4,0.3,0.7,2.2,2.4,4,0.1,0.4,0.3,0.3,84.2,26.8,57.3,4.1,CB,1
Abdou Diallo,2020-2021,24,Paris S-G,0.2,66.4,71.7,92.6,0.1,442.2,6.4,155.3,1.7,0.1,0.9,0.1,0.1,0.4,63.9,0.2,1,0.5,0.7,0.5,0.3,0.9,0.5,0.4,1.5,2.5,2.2,4.2,0,0.2,0.7,0.7,65.4,30,43.4,7.1,CB,0
Abdou Diallo,2021-2022,25,Paris S-G,0.2,63.9,72.2,88.5,0.4,397.3,6.5,144,1.6,0.3,1.3,0.6,0.2,0.6,70,0.1,1.2,0.3,1.4,0.8,0.6,0.6,0.2,0.4,1,3.3,1.9,7,0,0.1,1.8,1.8,73.1,24.5,42.8,15.4,CB,0
Abdoulaye Bamba,2017-2018,27,Angers,0.2,38.6,50.1,76.9,0.1,253.4,5,73.6,1.9,0.1,0.5,0.6,0.1,1.1,56.7,0.1,1.2,1.1,1.3,0.9,0.8,0.5,0.1,0.4,0.6,2.3,3.1,12.1,0,0.1,2.1,2.1,60,18.1,29.7,10.8,CB,0
Abdoulaye Bamba,2018-2019,28,Angers,0.2,33.9,44.8,75.6,0.4,215.9,4.2,70.3,2.1,0.3,0.7,0.5,0.1,1.1,44,0.2,0.7,0.8,1,0.8,0.7,0.7,0.1,0.6,1.3,3.1,3,10.8,0,0,2.4,2.4,57.7,16.8,26.5,10.9,CB,0
Adama Soumaoro,2017-2018,25,Lille,0.09,0,40.8,44.2,0,707,2.3,110.1,0.2,0.1,0.5,0.6,0,0.3,67.9,0.2,0.5,1.1,0.4,0.2,0.1,1.7,1.2,0.5,1.2,1.9,3.8,1.7,1.6,0,0,0,100,31.3,20.8,0.5,CB,1
Adama Soumaoro,2018-2019,26,Lille,0.09,0,45.6,48.4,0.1,913,5.6,103,0.5,0,0.3,0.3,0.1,0.3,60,0.3,1.4,1,0.6,0.2,0.1,1.1,0.9,0.2,1.1,1.8,4.8,2.4,2.4,0,0.2,0,75,29.8,26.8,1,CB,1
Agustín Rogel,2019-2020,21,Toulouse,0.11,0,30.9,36.3,0,553.4,1.7,67.1,0.4,0,0.4,0.1,0.1,0.6,58.5,0,0.5,0.3,0.8,0.7,0.6,1.4,1,0.3,1.2,2.7,3.7,1.7,1.4,0,0.1,0,0,25,19.7,1.3,CB,0
Alexander Djiku,2017-2018,22,Caen,0.6,37.2,46.3,80.3,0,307,8,100.6,0.7,0,0.3,0.2,0,0.6,62.8,0.4,1.5,1.4,1.5,0.9,1,1.2,0.2,1,2,4.4,5.5,1.9,0,0.4,0.2,0.2,85.7,25.1,31.6,2.1,CB,0
Alexander Djiku,2018-2019,23,Caen,0.2,38.4,46.3,82.9,0,309.1,9.1,67.8,0.2,0,0.5,0.4,0.1,0.7,61,0.3,1.6,1.4,1.2,0.8,0.7,1.8,1,0.8,2.7,4.3,6,2.1,0,0.5,0.1,0.1,61.5,34.8,24.5,1.2,CB,0
Alexander Djiku,2019-2020,24,Strasbourg,0.9,46,53.8,85.6,0.1,323.6,9.5,91,0.3,0.1,0.5,0.5,0,0.8,69,0.3,1.6,1,1.4,0.9,0.3,0.6,0.3,0.3,2.4,4.4,3.6,1.4,0,0.8,0.3,0.3,70.6,28.6,34.1,2.7,CB,0
Alexander Djiku,2020-2021,25,Strasbourg,0.6,40,47.6,83.9,0,329.8,9.5,75.5,0.4,0,0.3,0.2,0,0.8,59.6,0.3,1.8,1.3,1.4,1.1,0.7,1,0.4,0.6,3.2,5.3,3.7,1.5,0,0.4,0.3,0.3,83.3,31.2,25.4,2.6,CB,0
Alexander Djiku,2021-2022,26,Strasbourg,0.5,45.3,55.1,82.2,0.2,379,11.3,111.1,0.5,0,0.6,0.2,0.2,1.1,71,0.3,1.5,0.9,1.2,0.6,0.6,1,0.4,0.6,2,3.7,3,2.7,0,1.2,0.5,0.5,43.8,26.2,34.9,4.5,CB,0
Alidu Seidu,2021-2022,21,Clermont Foot,0.06,11.1,35.7,41.4,0.1,610.5,3,89.2,0.6,0.2,0.6,0.8,0,1.1,53.3,0.4,1.1,1.8,1.3,1,0.7,1.6,0.7,0.9,2.2,4.3,3.1,0.9,0.2,0,0.3,0.2,60,26.8,23.9,3.6,CB,0
Almamy Touré,2017-2018,21,Monaco,0.06,14.3,33.5,47.4,0.9,530.9,2.2,82.9,2.3,0.3,1.2,0.9,0.6,2.3,59.3,0.2,2,0.3,2.1,1.3,0.9,1.1,0.1,0.9,1.6,5.3,4.4,10.3,0.6,0.1,0.2,3.3,68.4,16.3,29.2,15.4,CB,1
Andrei Girotto,2019-2020,27,Nantes,0.06,22.7,43.4,51.3,0.2,803.7,3.7,82.4,0.4,0,0.5,0,0,0.5,57,0.2,1.3,0.7,2.2,1.6,1.3,1.3,0.7,0.6,1.4,4.5,4.6,1.7,1.7,0,0.3,0.2,50,32,29.4,2.4,CB,0
Andrei Girotto,2020-2021,28,Nantes,0.05,20.7,39.8,50,0.2,731.7,3.6,82,0.6,0,0.4,0.1,0.2,0.8,62,0.1,1.1,0.8,1.4,1.3,1,1.1,0.5,0.6,2,4.2,3.5,1.9,1.9,0,0.4,0.3,60,26.7,30.7,4,CB,0
Andrei Girotto,2017-2018,25,Nantes,1.8,29,38.6,75.2,0.2,159.2,5.7,59.7,0.9,0.2,0.8,0.5,0.2,2.4,58.2,0.5,2,1.2,2.3,1.2,1.8,1.9,0.4,1.5,0.9,4.3,2.7,0.5,0.5,0.1,0.8,0.5,60,12,29.7,10.4,CB,0
Andrei Girotto,2018-2019,26,Nantes,1.2,38.9,49.2,79.1,0.1,223.9,7.1,65.9,1,0,0.9,0.4,0,1.1,57.9,0.4,2.1,1.4,2.4,1.2,1.5,1.3,0.4,1,1.8,5.2,2.6,1.1,1,0.1,0.7,0.2,50,15.9,40.1,7,CB,0
Andrew Gravillon,2020-2021,22,Lorient,0.11,28.6,35.9,48.2,0.3,675.5,4.2,81.2,0.6,0,0.6,0.2,0.2,0.4,51,0.1,0.7,1.4,0.7,0.5,0.6,1.7,1.2,0.5,2.3,3.4,4.7,1.8,1.7,0,0.6,0.4,87.5,33.3,25.4,2,CB,0
