Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def _3rd,Touches_Mid _3rd,Touches_Att _3rd,Touches_Att_ Pen,Touches_Live,Role,Tier_league
Abdou Diallo,2019-2020,23,Paris S-G,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.24,0.4,0,0,0.1,40,73.8,80,92.3,0.3,5.2,0.4,0.1,6.6,1312.5,501.6,30.3,32,94.6,36,38.1,94.7,6.3,7.9,80,54.4,308,197.6,1.6,1.1,0.1,1,0.2,67.2,0.7,0.1,0.1,0.8,0.6,61.5,0.3,0,1.8,0.5,1.5,0.8,0.6,0.4,0.7,0.4,0.3,0.7,2.2,2.4,0,75.9,4,0.1,0.4,0.3,0.3,0,0.1,84.2,15.8,87.5,5.8,26.8,57.3,4.1,0.7,87.5,CB,1
Abdou Diallo,2020-2021,24,Paris S-G,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0,,0,0,66.4,71.7,92.6,0.1,4.2,0.3,0.1,4.6,1106,442.2,31.8,32.7,97,28.2,30.1,93.8,4.8,6.4,74.5,51.6,253.2,155.3,1.7,1.1,0.1,0.9,0.1,60.2,2.1,0.1,0.1,0.4,0.2,63.9,0.2,0.1,1,0.5,1,0.7,0.5,0.3,0.9,0.5,0.4,1.5,2.5,2.2,0,67.4,4.2,0,0.2,0.7,0.7,0,0.1,65.4,34.6,80,6,30,43.4,7.1,0.5,80,CB,0
Abdou Diallo,2021-2022,25,Paris S-G,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.04,0.2,0,0,0.1,50,63.9,72.2,88.5,0.4,4.2,0.6,0.4,4.8,1032.5,397.3,31,32.8,94.4,27,29.8,90.7,4.3,6.5,66.7,54.2,284,144,1.6,2.6,0.3,1.3,0.6,59.7,4,0.2,0.2,0.6,0.6,70,0.1,0,1.2,0.3,2.3,1.4,0.8,0.6,0.6,0.2,0.4,1,3.3,1.9,0.1,65.2,7,0,0.1,1.8,1.8,0,0.1,73.1,26.9,81.9,5.2,24.5,42.8,15.4,0.7,81.9,CB,0
Abdoulaye Bamba,2017-2018,27,Angers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.2,0,0,0.1,25,38.6,50.1,76.9,0.4,2.7,0.3,0.1,4.1,566.3,253.4,23.1,25.3,91.2,13.2,17.3,76.5,1.6,5,31.4,28.2,124.9,73.6,1.9,1.2,0.1,0.5,0.6,31.1,3.2,0.1,0.1,1.1,0.8,56.7,0.1,0,1.2,1.1,1.7,1.3,0.9,0.8,0.5,0.1,0.4,0.6,2.3,3.1,0,37.8,12.1,0,0.1,2.1,2.1,0,0.2,60,40,58.4,2.1,18.1,29.7,10.8,0.3,58.4,CB,0
Abdoulaye Bamba,2018-2019,28,Angers,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.03,0.2,0,,0,0,33.9,44.8,75.6,0.6,2.3,0.6,0.4,3.1,495.2,215.9,19.8,21.9,90.7,11.6,16.1,72.1,1.3,4.2,31.9,22.6,112.7,70.3,2.1,1.4,0.3,0.7,0.5,26.1,2.8,0.1,0.1,1.1,0.9,44,0.2,0,0.7,0.8,1.8,1,0.8,0.7,0.7,0.1,0.6,1.3,3.1,3,0,34,10.8,0,0,2.4,2.4,0,0.1,57.7,42.3,53.9,2,16.8,26.5,10.9,0.6,53.9,CB,0
Abdu Conté,2021-2022,23,Troyes,0,0.1,0.1,0,0,0,0,0,0.1,0.2,0.1,0.2,0,-0.1,0.04,0.3,0,0,0.1,20,29.9,41,72.8,0.6,2,0.6,0.3,2.5,455.1,166.2,16.3,20.2,80.8,10.6,14.1,75.4,1.8,3.8,47.4,28.9,169.5,89.9,2.1,2.1,0.5,1.4,0.5,28.6,4.7,0.1,0.1,1.5,1.1,45,0.1,0,0.9,0.9,1.5,0.8,0.8,0.8,0.8,0.1,0.7,0.3,1.7,0.7,0,32.1,8.8,0,0.2,2.7,2.7,0,0.1,57.9,42.1,49,1.6,17.7,18.8,13,0.9,49,LB,0
Achraf Hakimi,2021-2022,22,Paris S-G,0.1,0.2,0.4,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.13,0.7,0.2,0.4,0.4,50,59,66.4,88.9,1.1,2.2,1.2,0.3,3.6,803.9,207.7,36,38.6,93.1,18.3,20.5,89.5,1.6,2.1,49.2,221.9,125,2.6,1.9,0.6,1.2,0.5,55.1,10.7,0.3,0.3,1.9,1.5,31,0.1,0,0.7,0.5,2.7,1.9,1.5,1.2,0.9,0.2,0.8,1,3.7,0.8,0.1,58.8,7.6,0.9,0,0.1,1.9,0.1,0.1,39.6,60.4,75.8,2.1,18.8,30.2,27.2,2.9,75.8,RB,1
Adama Mbengue,2017-2018,23,Caen,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.03,0.8,0,0,0.1,7.1,29.8,47.3,63.1,0.6,2.4,0.7,0.5,4.4,523.6,291.3,14,16.7,83.8,12.1,18,67.4,3.1,8.6,24.7,202.4,120.7,4.3,2.5,0.4,2.3,1.5,28.2,6,0,0,2.1,1.2,52.9,0.1,0.1,2.1,1.4,4,2.7,2.3,1.4,1.2,0.1,1.1,1.6,5.6,2.8,0,34.7,12.2,0.4,0,0.6,5,0.1,0.3,61.7,38.3,62,2.8,19.2,25.8,18.2,0.6,62,LB,0
Adama Mbengue,2018-2019,24,Caen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.1,0,0,0.1,11.1,27.8,45.4,61.1,0.2,2.4,0.7,0.4,2.6,548.8,286.9,12.1,14.4,83.9,10.2,15.7,65.1,5,12.3,22.8,138.5,73.8,2.1,1.3,0.1,1.9,0.5,23.5,2.4,0.1,0.1,1.8,1,31.3,0.4,0,2.6,1,5.8,3.9,2.3,0.9,1.8,0.5,1.3,0.9,6.7,2.7,0,33.5,11.7,0.4,0,0.4,3.4,0,0.2,61.5,38.5,60,3.4,23.7,26.5,10.7,0.1,60,LB,0
Adama Soumaoro,2017-2018,25,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0,,0,0,40.8,44.2,92.2,0.1,0.8,0,0,1.3,707,250,16.2,17.1,94.7,21,21.9,95.9,2.3,3.6,30.4,185.6,110.1,0.2,0.1,0.1,0.5,0.6,32.7,0,0,0,0.3,0.2,67.9,0.2,0,0.5,1.1,0.7,0.4,0.2,0.1,1.7,1.2,0.5,1.2,1.9,3.8,0.1,42.4,1.7,1.6,0,0,0,0,0.2,100,0,52.3,7,31.3,20.8,0.5,0.5,52.3,CB,1
