Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Role,Tier_league
Abdoul Camara,2017-2018,27,Guingamp,0.2,0.1,0.3,0.2,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,0.09,1.9,0.11,0.33,0.6,31.6,22.6,31.3,72.2,1,0.7,0.9,0.4,2.4,300.3,69.1,14.3,16.8,84.9,5.9,8.2,71.6,0.8,2.7,29.6,27.2,217.5,106.7,4.7,2,1.6,1.8,1.5,32.4,7,0.1,0.1,2.1,1.5,50,0,0,0.7,1.1,0.6,0.4,0.3,0.8,0.7,0.1,0.6,0.7,1.3,0.4,0,30,1.1,0.2,0,0,3.9,0.7,0.2,47.1,52.9,40.5,0.3,6,16.1,19.6,3.3,40.5,LW,1
Abdoul Kader Bamba,2019-2020,25,Nantes,0.1,0.2,0.2,0.1,0,0,0.1,0.1,0.3,0.4,0.3,0.4,-0.1,-0.1,0.11,1.2,0.05,0.11,0.6,47.4,34.7,44.5,78,2.3,2.1,1.6,0.3,3.6,501.6,134.6,21,24.4,85.9,10.7,12.8,83.3,2,4.2,47.1,40.8,289.3,157.2,5,4,1.5,2.8,1.9,43.2,8.4,0.4,0.1,4.5,2.8,43.5,0.3,0,1.2,2.9,1.2,0.9,0.6,1.3,0.5,0.1,0.4,1,2.1,0.5,0,41.3,3.1,1.1,0.2,0.1,3.4,1.3,0.1,54.7,44.3,57.9,0.6,6.6,28.4,24.3,2.6,57.9,RW,1
Abdoul Kader Bamba,2020-2021,26,Nantes,0.3,0.1,0.4,0.3,0,0.1,0.2,0.2,0.1,0.4,0.1,0.3,0.1,0,0.11,1.4,0.21,0.5,0.6,42.9,36.1,48.1,75.1,2.3,2.5,1,0,4.2,544.1,145.4,21.2,24.8,85.4,11.3,14.7,76.7,2.6,5.4,47.3,38.2,243.7,114.9,4,2.1,2,2.6,1.7,44.2,9.4,0.3,0.2,4.4,2.7,28.6,0.2,0,0.8,4,1.8,0.3,1.1,0.7,1,0,1,0.7,2.5,0.4,0.1,43.3,4.6,2.1,0.1,0.4,3.8,1.7,0,56.3,43.8,60.8,0.3,6.9,27.9,27.1,3.1,60.7,RW,1
Abdoulaye Touré,2017-2018,23,Nantes,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0.04,1.3,0.02,0.08,0.4,29.3,34.4,43.9,78.4,0.6,4.9,0.5,0.1,5.9,589.3,200.1,15.7,18.3,85.8,13,16.1,81.1,4,6.3,63.5,29.8,130.9,61,0.8,1,0.1,1.3,1.4,32.7,1.1,0.3,0.2,2.6,1.8,64.2,0.1,0,1.7,1.7,2.4,1.7,0.7,1.4,1.3,0.3,1,2,4.4,1.6,0,43.3,0.4,0.4,0.1,0.6,0.6,0,0,70.3,29.7,56.4,2.6,12.5,35.6,8.8,0.5,56.4,DM,1
Abdoulaye Touré,2018-2019,24,Nantes,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.04,1.8,0.05,0.21,0.5,25.5,35.9,45.3,79.2,0.8,4,0.6,0.2,4.8,562.4,160.8,18.2,21.7,84,13.4,15.8,84.6,2.8,4.4,63.2,33.1,150.6,72.3,1.2,1.4,0.1,1.5,1.3,38.4,1.8,0.2,0.1,2.5,1.8,47.5,0.1,0,0.9,1.5,1.6,1,0.6,1.2,0.8,0.3,0.5,1.5,3.1,0.9,0,44.7,0.5,0.4,0.1,0.5,0.8,0,0,71.2,28.8,55.8,1.7,9.1,35.4,11.9,0.6,55.8,DM,1
Abdoulaye Touré,2019-2020,25,Nantes,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0.2,0,0.1,0,0,0.05,1.3,0.03,0.13,0.3,25,45.5,54.3,83.7,0.7,4.4,0.3,0,5.3,755.7,177.8,22.5,25.9,87,17.3,20,86.4,4.1,5.4,76.1,37.4,187.3,80.8,1.4,1.1,0.2,1.6,1.3,47.5,1.2,0.1,0,1.7,1,48.7,0.1,0,1.3,2.1,1.3,0.9,0.4,0.8,1.3,0.4,0.8,1.2,2.5,0.7,0,53.7,0.5,0.5,0,0.6,0.4,0,0,70.5,29.5,65.2,1.7,11.4,43.8,10.9,0.8,65.1,DM,1
Abdoulaye Touré,2020-2021,26,Nantes,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.07,1.4,0.04,0.25,0.2,15.4,42.8,50.6,84.5,0.7,4.9,0.4,0,5.4,709.1,186.2,19.2,22.4,85.6,18.8,21.2,88.6,3.2,4.4,72.3,34.9,154.8,69.8,1.2,1.2,0,1.5,1,42.9,1.2,0.3,0.3,2.2,1.8,60,0.1,0,1.1,1.6,1.5,0.6,0.7,0.9,0.9,0.1,0.8,1.2,2.7,1,0,50.4,0.3,0.3,0.2,0.3,0.5,0,0,70,30,60.8,1.8,9,41.5,11,1,60.8,DM,1
Adam Ounas,2019-2020,22,Nice,0.2,0.3,0.5,0.2,0,0,0.2,0.2,0.3,0.4,0.2,0.4,0,0.1,0.1,1.7,0.1,0.22,0.7,42.9,29.9,39.8,75.1,2,2,1.9,0.6,4.2,531.6,127.2,13.9,16.3,85.7,12.2,15.5,78.8,3.4,5.9,58.1,30.3,230.8,105,3.3,2.4,1.7,2.7,1.8,40.1,10.6,0.4,0.3,4.2,2.8,12.5,0.2,0.1,0.6,2.3,0.8,0.4,0.4,0.6,0.7,0.1,0.6,0.9,1.7,0.6,0.1,35.8,3.8,0.8,0.6,0.6,4.2,1.3,0,63.4,36.6,52.2,0.3,5.1,24,24.4,3,52.2,RW,1
Adama Traoré,2019-2020,24,2 Teams,0.1,0.3,0.4,0.1,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0.1,0.08,1.5,0.06,0.25,0.3,23.5,35.3,43.3,81.5,3.1,3.3,1,0,5.2,567.6,176.6,18.5,20.8,88.7,12.5,15.2,82.2,3.2,5.1,63.8,29.1,176.2,77,2.1,1.9,0.2,1.6,1.2,36.7,3.2,0.3,0.3,5.3,3.5,35.7,0.1,0,0.6,2.9,0.3,0.1,0.3,0.8,0.6,0.2,0.4,0.3,0.6,0.4,0,36.9,6.3,1.7,0.3,0.1,3.8,3.4,0,71.8,28.2,52.3,0.9,4.2,30.1,18.7,0.5,52.3,RW,1
Adil Aouchiche,2020-2021,18,Saint-Étienne,0.1,0.3,0.4,0.1,0,0,0.2,0.2,0.3,0.5,0.2,0.5,-0.1,0,0.13,1.4,0.08,0.17,0.6,46.2,29.7,42.5,69.8,3.1,3,1.3,0.4,4.5,523.5,173.4,16,18.9,84.3,7.9,11.1,71.4,4.4,9.4,47,32.2,198.8,101.2,2.9,1.5,0.7,3.2,1.4,36.4,4.8,0.4,0.3,4.9,2.7,31.7,0.1,0,1,1.6,2,1,0.7,1.9,0.8,0.1,0.7,0.5,2.5,0.3,0,35.4,7.1,2.3,0.2,0.7,6.8,4,0,55.7,44.3,54.4,0.6,6.6,27.6,21.1,2.5,54.4,AM,1
