Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Penalty_kicks_missed,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Offsides,Penalty_kicks_won,Penalty_kicks_conceded,Own_goals,Recov_loose_balls,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Tkld_During_Take_On%,Role,Tier_league
Aaron Leya Iseka,2020-2021,22,Metz,0.4,0,0.4,0.2,0.2,0.3,0.1,0.4,0.2,0.1,0.5,0,0.3,-0.1,0,-0.1,0.14,1.5,0.12,0.33,0.5,35.3,12.6,17.1,73.4,1.1,1.1,0.1,0,1.1,156.5,24.7,7.9,9.5,84,2.6,4.1,63,0.5,0.8,66.7,15.8,82.4,32.2,1.2,1.1,0.9,3.1,1.7,21.9,4.6,0.1,0,1.9,26.2,0.9,2.2,13.6,10.6,2.9,25.9,41.4,0.4,0,2.3,1.1,0.5,0.4,0,0.4,0.4,0.2,0.2,0,0.5,0.5,0,0.3,0,0,0,1.9,16.6,0.4,0.1,0.1,0.1,0.2,0,57.9,42.1,CF,0
Aaron Leya Iseka,2018-2019,20,Toulouse,0.2,0,0.2,0.2,0,0,0,0.2,0.2,0,0.3,0,0.3,0,0,0,0.14,1.7,0.14,0.36,0.7,39.3,13,16.5,78.5,0.6,0.9,0.3,0,1.2,155.3,27.8,8.9,9.7,92.3,2.7,3.9,71,0.2,0.6,44.4,15.2,62.9,22.6,0.9,0.9,0.6,2.9,1.6,19.9,5.9,0.1,0.1,1.6,25.1,1.1,1.9,11.2,12.2,3.1,25.1,39.7,0.1,0.1,1.4,0.9,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.4,0.6,0,0.4,0,0,0,1.6,15.6,0.8,0,0.1,0,0.1,0,35,60,CF,0
Aaron Leya Iseka,2019-2020,21,Toulouse,0.2,0,0.2,0.1,0.1,0.2,0.1,0.6,0.4,0,0.6,0,0.4,-0.3,-0.3,0,0.15,2.8,0.04,0.11,1,37.5,15.4,20.6,74.7,0.5,1.2,0.2,0,1.4,176.6,23.9,10.1,12.7,79.1,3.4,4.7,70.7,0.3,0.7,50,19.7,108.4,44.4,1.3,0.9,1,2.8,2.7,25.1,5.9,0.2,0,2.4,31.6,0.7,2.2,15.8,13.9,4.3,31.4,41.5,0.2,0,2.3,1.2,0.2,0,0,0.3,0.6,0,0.6,0.1,0.3,0.8,0,0.7,0.1,0,0,1.7,18.4,2.2,0,0.1,0.1,0.2,0,56.3,43.8,CF,0
Abdul Majeed Waris,2018-2019,26,Nantes,0.2,0.1,0.3,0.2,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,0.13,1.6,0.1,0.31,0.5,33.3,17.3,24.3,71,1,1,0.8,0.1,2.2,226.7,58.5,10.4,12.9,80.7,4.4,6.1,72.5,1,2.2,44.4,27.1,163.2,76.1,2.8,1.9,1.4,3.1,2.4,28.7,9.6,0.4,0.2,3.1,2,35.8,0.2,3.1,13.7,19.5,3.6,35.8,27.1,0.1,0,0.7,2.9,0.9,0.5,0.3,0.8,0.4,0,0.4,0.3,1.2,0.3,0,0.4,0.1,0,0,4.3,23.1,1.2,0,0.2,0,1.6,0.6,39.7,60.3,SS,1
Adama Niane,2017-2018,24,Troyes,0.3,0.1,0.4,0.2,0.1,0.1,0,0.5,0.4,0.1,0.5,0,0.5,-0.1,-0.2,0,0.14,3,0.08,0.25,1,33.8,15.8,23.8,66.5,0.7,0.7,0.2,0.1,1.1,200.2,27.9,10,13.3,75,3.8,5.9,64.1,0.6,1,56,18.9,89.5,33.9,1,0.8,0.4,3.6,2.1,25.5,5.5,0.1,0,1.8,36.1,0.7,3.2,17.7,15.6,4.3,36,28.1,0.2,0,1.5,1.2,0.9,0.5,0.2,0.8,0.5,0.1,0.4,0.4,1.3,0.5,0,1.3,0.1,0,0,3.2,21.3,2.5,0,0,0.1,0.5,0,43.3,56.7,CF,0
Ado Onaiwu,2022-2023,26,Toulouse,0.2,0.1,0.2,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.09,1.6,0.11,0.5,0.3,21.1,21,28,74.8,0.7,1.6,0.8,0.1,2.5,291.2,59.7,12.1,15.6,77.5,6.5,8.3,78,0.8,1.2,66.7,27.8,150.6,51.5,0.9,0.9,0.5,2,2.2,29.5,7.2,0.1,0.1,1.7,36.4,0.6,3.5,16.8,16.5,2.9,36.4,49.3,0,0,1.2,1.2,0.9,0.5,0.4,0.7,0.4,0.1,0.3,0.2,1.1,0.4,0,0.2,0,0,0,2.9,27.3,0.6,0.1,0.2,0.2,0.4,0,40,53.3,CF,0
Adrian Grbić,2020-2021,23,Lorient,0.4,0,0.4,0.1,0.3,0.3,0,0.6,0.4,0,0.7,0,0.4,-0.2,-0.3,0,0.13,2.9,0.03,0.09,1,35.5,11.8,19.8,59.7,0.4,0.8,0.2,0,0.9,136.6,22.1,7.2,10.7,67.5,2.6,3.9,66.7,0.2,1,18.2,16.9,70.2,33.3,1.2,0.7,0.6,2.3,0.9,20,5,0.4,0,1.3,30,0.7,2.6,13.5,14.4,3.7,29.7,40.6,0.2,0,2.2,1.7,0.6,0.4,0.1,0.6,0.6,0,0.6,0.5,1,0.7,0,0.1,0.2,0,0,3,17.9,1.8,0,0,0.1,0.5,0,18.2,81.8,CF,0
Adrien Hunou,2019-2020,25,Rennes,0.6,0.1,0.7,0.5,0.1,0.1,0,0.6,0.5,0.2,0.8,0.1,0.7,0,0,-0.1,0.29,2,0.26,0.5,1,51.9,17.5,23.4,74.6,1,0.8,0.7,0.2,2,224.9,42.5,10.7,13,82.3,5.1,6.2,81,0.4,1,46.2,23,110.5,43.4,1.5,1,0.4,3.1,1.6,26.3,6.1,0.4,0.2,2.6,36.5,0.4,4.2,17.1,15.7,3.4,36.4,32.1,0.1,0,1.3,2.5,1.6,1.3,0.3,1.3,1.2,0.1,1.1,0.4,1.9,0.4,0,0.3,0.1,0,0,3.6,22.8,0.5,0,0,0,0.7,0,35.7,64.3,CF,0
Adrien Hunou,2018-2019,24,Rennes,0.5,0.1,0.6,0.5,0,0,0,0.6,0.5,0,0.6,0,0.6,-0.1,0,0,0.29,1.9,0.27,0.5,1,53.8,16.9,22.4,75.6,0.7,0.5,0.3,0,1.2,192.9,27.6,12.3,14.9,82.9,3.3,4.4,75,0.1,0.5,28.6,17.1,75.5,33.5,1.3,0.7,0.5,2,0.4,22.1,5.7,0.1,0.1,1.5,31.9,0.8,2.7,14.3,15,3.3,31.9,31.4,0.1,0,1,1.7,0.8,0.5,0.1,0.5,1,0,1,0.4,1.2,0.6,0,0.9,0,0,0,2.8,20.3,2,0.1,0,0.1,0.4,0,20,80,CF,0
Adrien Hunou,2017-2018,23,Rennes,0.3,0.1,0.4,0.3,0,0,0,0.2,0.2,0,0.3,0,0.3,0.1,0.1,0,0.16,1.5,0.2,0.5,0.6,40,25.2,32.1,78.5,0.7,1.3,0.2,0,2,327.9,63.7,16.3,19.2,84.9,6.5,7.7,84.8,0.7,1.7,39.3,22.8,108.1,41,1.1,0.9,0.3,2.3,1.2,31,7.7,0.2,0.1,2.1,42.2,0.4,5.1,18.9,18.8,2.5,42.2,26.2,0.1,0,1.2,1.9,1.7,0.9,0.7,1.9,1.4,0.1,1.3,0.6,2.2,0.5,0.1,1.2,0.1,0,0,4.8,30.1,1.8,0.1,0.1,0.2,0.6,0.1,40,60,CF,0
