Player,Season,Age,Team,Assist,G+A,Non_penalty_goals,Non_penalty_xG,Expected_assisted_goals,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_toShot,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Attempted_long_passes,Long_passes_Cmp%,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def_3rd,Touches_Att_Pen,Role,Tier_league
Abdoulaye Touré,2017-2018,23,Nantes,0.0,0.1,0.0,0.0,0.0,0.0,0.04,1.3,0.08,0.4,29.3,0.6,0.5,0.1,5.9,589.3,200.1,6.3,63.5,130.9,61.0,0.8,1.0,0.1,1.3,1.4,0.3,0.2,2.6,1.8,64.2,1.7,1.7,0.7,1.4,1.3,0.3,2.0,4.4,0.4,0.4,0.1,0.6,0.6,70.3,12.5,0.5,DM,0
Abdoulaye Touré,2018-2019,24,Nantes,0.0,0.1,0.1,0.1,0.1,0.0,0.04,1.8,0.21,0.5,25.5,0.8,0.6,0.2,4.8,562.4,160.8,4.4,63.2,150.6,72.3,1.2,1.4,0.1,1.5,1.3,0.2,0.1,2.5,1.8,47.5,0.9,1.5,0.6,1.2,0.8,0.3,1.5,3.1,0.5,0.4,0.1,0.5,0.8,71.2,9.1,0.6,DM,0
Abdoulaye Touré,2019-2020,25,Nantes,0.0,0.1,0.0,0.1,0.0,0.0,0.05,1.3,0.13,0.3,25.0,0.7,0.3,0.0,5.3,755.7,177.8,5.4,76.1,187.3,80.8,1.4,1.1,0.2,1.6,1.3,0.1,0.0,1.7,1.0,48.7,1.3,2.1,0.4,0.8,1.3,0.4,1.2,2.5,0.5,0.5,0.0,0.6,0.4,70.5,11.4,0.8,DM,0
Abdoulaye Touré,2020-2021,26,Nantes,0.1,0.2,0.1,0.1,0.1,0.1,0.07,1.4,0.25,0.2,15.4,0.7,0.4,0.0,5.4,709.1,186.2,4.4,72.3,154.8,69.8,1.2,1.2,0.0,1.5,1.0,0.3,0.3,2.2,1.8,60.0,1.1,1.6,0.7,0.9,0.9,0.1,1.2,2.7,0.3,0.3,0.2,0.3,0.5,70.0,9.0,1.0,DM,0
Adrien Rabiot,2017-2018,22,Paris S-G,0.2,0.2,0.0,0.1,0.1,0.1,0.06,0.9,0.2,0.2,21.7,1.0,1.0,0.2,7.6,1195.9,323.4,7.0,84.2,406.9,221.1,3.2,2.4,0.2,1.3,1.4,0.5,0.5,2.7,2.2,64.0,1.4,0.8,0.6,0.8,1.1,0.4,1.3,3.5,1.6,1.1,0.2,0.5,0.8,76.5,17.4,1.3,RM,1
Adrien Rabiot,2018-2019,23,Paris S-G,0.1,0.3,0.2,0.1,0.0,0.1,0.22,0.6,0.67,0.3,42.9,0.5,0.8,0.0,10.3,1333.1,352.7,7.5,86.5,453.8,268.4,4.0,2.8,0.2,1.2,0.8,0.8,0.7,2.4,2.0,66.7,1.9,0.7,0.8,0.3,0.8,0.2,0.8,3.8,1.3,0.8,0.3,0.3,0.5,68.2,17.1,0.8,RM,1
Adrien Tameze,2017-2018,23,Nice,0.1,0.1,0.0,0.0,0.1,0.0,0.04,0.4,0.0,0.2,42.9,0.4,0.1,0.0,4.6,1066.5,240.2,6.2,82.6,216.6,103.9,1.1,1.0,0.1,1.2,1.6,0.2,0.2,1.4,1.2,51.2,1.3,1.5,1.4,1.1,1.4,0.3,2.2,5.3,1.3,1.2,0.2,0.5,0.2,78.3,20.4,0.7,DM,1
Adrien Tameze,2018-2019,24,Nice,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.6,0.0,0.1,21.1,0.8,0.4,0.0,5.0,848.5,209.9,5.4,73.0,148.6,80.2,0.9,1.1,0.1,1.3,1.0,0.1,0.1,1.8,1.6,45.1,1.4,1.1,1.2,1.6,1.6,0.4,1.7,4.0,2.1,1.6,0.1,0.3,0.2,59.7,17.5,0.6,DM,1
Aimen Moueffek,2020-2021,19,Saint-Étienne,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,,0.0,0.0,1.0,0.7,0.0,4.0,536.1,187.5,4.6,50.0,186.2,98.0,2.1,1.3,0.1,2.1,1.2,0.0,0.0,1.8,1.3,66.7,2.4,1.8,1.6,2.3,2.1,0.2,1.1,4.1,7.4,0.7,0.0,0.2,0.7,60.6,20.6,0.6,CM,0
Alexis Blin,2017-2018,20,Toulouse,0.1,0.2,0.0,0.0,0.1,0.1,0.07,0.5,0.33,0.1,27.3,0.3,0.3,0.2,4.7,459.2,169.4,4.2,55.7,107.4,48.8,0.4,1.0,0.1,0.8,1.0,0.2,0.2,1.3,1.1,47.8,1.5,1.8,1.0,2.2,1.3,0.3,1.5,4.2,0.8,0.5,0.0,0.3,0.7,61.5,8.8,1.0,DM,0
