Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Abdu Conté,2021-2022,23,Troyes,0.1,0.3,41,72.8,0.3,166.2,3.8,89.9,2.1,1.4,0.5,28.6,1.5,45,0.1,0.9,0.9,0.8,0.8,0.8,0.1,0.7,0.3,1.7,0.7,8.8,0,0.2,2.7,2.7,0,57.9,1.6,17.7,18.8,13,0.9,LB,0
Achraf Hakimi,2021-2022,22,Paris S-G,0.2,0.13,59,66.4,1.2,803.9,1.6,125,1.9,1.2,0.5,55.1,1.9,31,0.1,0.7,0.5,1.9,1.5,1.2,0.2,0.8,1,3.7,0.8,7.6,0.9,0,0.1,1.9,0.1,39.6,2.1,18.8,30.2,27.2,2.9,RB,1
Adama Mbengue,2017-2018,23,Caen,0.1,0.03,29.8,47.3,0.7,523.6,3.1,120.7,2.5,2.3,1.5,28.2,2.1,52.9,0.1,2.1,1.4,2.7,2.3,1.4,0.1,1.1,1.6,5.6,2.8,12.2,0.4,0,0.6,5,0.1,61.7,2.8,19.2,25.8,18.2,0.6,LB,0
Adama Mbengue,2018-2019,24,Caen,0,0.02,27.8,45.4,0.7,548.8,5,73.8,1.3,1.9,0.5,23.5,1.8,31.3,0.4,2.6,1,3.9,2.3,0.9,0.5,1.3,0.9,6.7,2.7,11.7,0.4,0,0.4,3.4,0,61.5,3.4,23.7,26.5,10.7,0.1,LB,0
Adrien Truffert,2020-2021,18,Rennes,0.2,0.05,49.1,59,0.8,737.7,1.9,93,1.8,1.4,0.6,45.2,1.7,42.9,0.1,1.1,1.2,0.8,0.6,0.5,0.2,1,0.8,2.6,1.8,8.5,0.8,0,0,3,0,51.4,2.1,14.6,32.2,23.1,2,LB,0
Adrien Truffert,2021-2022,19,Rennes,0.2,0.09,51.5,63.4,1,809.5,3.2,146.1,2.7,1.9,0.8,46.5,2,37.2,0.2,1.3,1.1,1.2,0.6,0.7,0.3,1.1,1,2.6,1.6,9.6,0.9,0,0.1,2.6,0,58.6,2.1,18.9,36.7,19.9,2,LB,0
Akim Zedadka,2021-2022,26,Clermont Foot,0.1,0.05,45.5,56.7,1.5,680.5,2.8,109.6,1.9,1.8,1.4,38.8,2.6,51.9,0.1,0.8,2.4,1.2,1,0.9,0.2,0.6,1.6,3.5,1.3,12.2,0.9,0,0.1,3.3,0,45.1,2.9,18.6,30.1,20.1,1,RB,0
Ambroise Oyongo,2018-2019,27,Montpellier,0.1,0.09,32.3,46.2,1.3,524.5,2.3,80.3,1.9,1.6,1.1,31.3,1.9,27.7,0.2,1,1,0.9,0.8,0.8,0.3,0.8,1.6,3.5,2.5,12.1,0.6,0,0.2,2.7,0,53.7,2,15,27,17.1,0.8,LB,0
Ambroise Oyongo,2019-2020,28,Montpellier,0.1,0.04,34,46.5,0.8,564.1,2.9,68.6,1.2,1.1,0.5,30.9,1.5,50,0.1,0.7,1.1,0.5,0.8,0.6,0,0.4,0.8,2.1,1.7,10.1,0.5,0,0.1,3.2,0,42.1,2.5,13.1,26.6,16.4,0.7,LB,0
Aníbal Chalá,2020-2021,24,Dijon,0,0,47.4,76,0,269,4.2,91.5,1.9,1.7,0.4,32.2,0.8,50,0,1.8,1.1,0.8,0.7,0.7,0.4,0.2,1.7,2.9,1.8,10,0,0.1,1.5,1.5,0,50,3.4,19.7,26.4,12.1,0.4,LB,0
Anthony Caci,2018-2019,21,Strasbourg,0,0.2,55.8,80.1,0.4,320.4,8.2,95.8,0.9,0.9,0.3,39.6,1.1,40.4,0,1.1,0.3,1.2,0.9,0.9,0.4,0.4,1.8,4,2.5,6.9,0,1.4,1.5,1.5,0,48,3.6,25,31.1,9.2,0.5,RB,0
