Player,Season,Age,Team,Assist,Non_penalty_goals,Non_penalty_xG,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget%,Passes_completed,Passes_completition%,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,Attempted_long_passes,Carries/90,PrgDist_Carries,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Role,Tier_league
Abdoul Camara,2017-2018,27,Guingamp,0.1,0.2,0.2,0.1,0.09,1.9,0.33,31.6,22.6,72.2,0.9,0.4,2.4,2.7,27.2,106.7,1.8,1.5,0.1,0.1,2.1,1.5,50.0,0.7,1.1,0.3,0.8,0.7,0.7,1.3,1.1,0.0,0.0,3.9,0.7,0.2,47.1,0.3,6.0,16.1,19.6,3.3,LW,0
Abdoul Kader Bamba,2019-2020,25,Nantes,0.2,0.1,0.1,0.3,0.11,1.2,0.11,47.4,34.7,78.0,1.6,0.3,3.6,4.2,40.8,157.2,2.8,1.9,0.4,0.1,4.5,2.8,43.5,1.2,2.9,0.6,1.3,0.5,1.0,2.1,3.1,0.2,0.1,3.4,1.3,0.1,54.7,0.6,6.6,28.4,24.3,2.6,RW,0
Abdoul Kader Bamba,2020-2021,26,Nantes,0.1,0.3,0.2,0.1,0.11,1.4,0.5,42.9,36.1,75.1,1.0,0.0,4.2,5.4,38.2,114.9,2.6,1.7,0.3,0.2,4.4,2.7,28.6,0.8,4.0,1.1,0.7,1.0,0.7,2.5,4.6,0.1,0.4,3.8,1.7,0.0,56.3,0.3,6.9,27.9,27.1,3.1,RW,0
Adam Ounas,2019-2020,22,Nice,0.3,0.2,0.2,0.2,0.1,1.7,0.22,42.9,29.9,75.1,1.9,0.6,4.2,5.9,30.3,105.0,2.7,1.8,0.4,0.3,4.2,2.8,12.5,0.6,2.3,0.4,0.6,0.7,0.9,1.7,3.8,0.6,0.6,4.2,1.3,0.0,63.4,0.3,5.1,24.0,24.4,3.0,RW,0
Adama Traoré,2019-2020,24,2 Teams,0.3,0.1,0.1,0.2,0.08,1.5,0.25,23.5,35.3,81.5,1.0,0.0,5.2,5.1,29.1,77.0,1.6,1.2,0.3,0.3,5.3,3.5,35.7,0.6,2.9,0.3,0.8,0.6,0.3,0.6,6.3,0.3,0.1,3.8,3.4,0.0,71.8,0.9,4.2,30.1,18.7,0.5,RW,0
Adil Aouchiche,2020-2021,18,Saint-Étienne,0.3,0.1,0.2,0.2,0.13,1.4,0.17,46.2,29.7,69.8,1.3,0.4,4.5,9.4,32.2,101.2,3.2,1.4,0.4,0.3,4.9,2.7,31.7,1.0,1.6,0.7,1.9,0.8,0.5,2.5,7.1,0.2,0.7,6.8,4.0,0.0,55.7,0.6,6.6,27.6,21.1,2.5,AM,0
Adil Aouchiche,2021-2022,19,Saint-Étienne,0.3,0.0,0.1,0.1,0.06,1.7,0.0,47.6,38.0,74.4,0.7,0.2,6.2,8.9,39.8,130.0,2.6,1.4,0.4,0.2,3.2,1.7,37.0,0.8,1.1,0.4,2.3,1.5,1.4,2.5,5.1,0.1,1.5,5.7,3.2,0.2,37.5,0.3,8.4,35.4,22.3,1.8,AM,0
Adrien Thomasson,2017-2018,23,Nantes,0.1,0.2,0.1,0.1,0.07,2.0,0.31,27.6,34.7,74.7,0.7,0.2,4.5,3.4,31.9,69.4,1.7,1.6,0.3,0.1,3.1,2.4,27.7,1.0,1.1,0.8,1.8,2.0,0.6,3.1,0.8,0.2,0.1,1.9,0.0,0.2,60.0,0.7,9.0,27.2,21.9,2.8,AM,0
Adrien Thomasson,2018-2019,24,Strasbourg,0.3,0.2,0.2,0.1,0.08,1.9,0.29,32.1,32.5,75.4,1.0,0.3,3.8,4.5,32.6,65.3,2.5,1.6,0.5,0.4,3.4,2.5,23.7,0.9,1.5,0.8,1.6,1.1,0.7,2.6,1.3,0.2,0.2,2.3,0.6,0.2,65.6,0.4,7.3,24.7,22.4,2.6,AM,0
Adrien Thomasson,2019-2020,25,Strasbourg,0.0,0.3,0.2,0.1,0.11,2.2,0.44,36.0,31.8,76.0,1.3,0.3,4.1,3.4,33.8,68.5,3.2,1.3,0.3,0.3,3.7,2.8,30.4,1.2,1.7,0.7,1.4,0.9,0.4,2.0,2.9,0.1,0.2,2.6,0.2,0.3,60.4,0.4,5.0,25.4,24.2,3.9,AM,0
Adrien Thomasson,2020-2021,26,Strasbourg,0.0,0.2,0.2,0.1,0.13,1.6,0.33,31.9,29.5,76.1,0.8,0.2,3.4,3.3,26.9,45.1,2.5,1.6,0.3,0.2,3.1,2.2,27.0,1.8,1.5,0.4,1.6,1.5,0.8,2.0,1.7,0.0,0.3,1.3,0.1,0.2,51.1,0.2,4.6,24.8,20.5,4.0,AM,0
