rank,Player,Season,Team,Role,Tier_league,pred,proba_1
1,Adrien Rabiot,2018-2019,Paris S-G,RM,1,1,0.9856297410640404
2,Marco Verratti,2017-2018,Paris S-G,CM,1,1,0.9689630887355785
3,Marco Verratti,2018-2019,Paris S-G,CM,1,1,0.9388238033797311
4,Adrien Rabiot,2017-2018,Paris S-G,RM,1,1,0.9352533064789047
5,Marco Verratti,2019-2020,Paris S-G,CM,1,1,0.931805106844361
6,Tanguy Ndombele,2018-2019,Lyon,CM,1,1,0.9304125608808538
7,Yves Bissouma,2017-2018,Lille,DM,1,1,0.9192380917082881
8,Marco Verratti,2021-2022,Paris S-G,CM,1,1,0.9035224858965498
9,Jordan Ferri,2017-2018,Lyon,CM,0,1,0.898710635367678
10,Marco Verratti,2020-2021,Paris S-G,CM,1,1,0.8961414761966595
11,Leandro Paredes,2019-2020,Paris S-G,DM,1,1,0.8860042553156915
12,Leandro Paredes,2020-2021,Paris S-G,DM,1,1,0.8829553926935456
13,Aurélien Tchouaméni,2021-2022,Monaco,DM,1,1,0.8643491213348221
14,Tanguy Ndombele,2017-2018,2 Teams,CM,1,1,0.8470579771313185
15,Marquinhos,2018-2019,Paris S-G,DM,1,1,0.839290235772157
16,Maxime Lopez,2017-2018,Marseille,CM,1,1,0.8315274944392514
17,Khéphren Thuram,2021-2022,Nice,CM,1,1,0.8303765983591578
18,Renato Sanches,2021-2022,Lille,CM,1,1,0.8287580496149672
19,Marquinhos,2019-2020,Paris S-G,DM,1,1,0.8285940098456034
20,Leandro Paredes,2021-2022,Paris S-G,DM,1,1,0.8161364954124322
