rank,Player,Season,Team,Role,Tier_league,pred,proba_1
1,Adrien Rabiot,2018-2019,Paris S-G,RM,1,1,0.9825836684020229
2,Yves Bissouma,2017-2018,Lille,DM,1,1,0.9645685430867134
3,Adrien Rabiot,2017-2018,Paris S-G,RM,1,1,0.9635877722434382
4,Marco Verratti,2017-2018,Paris S-G,CM,1,1,0.9462664880641638
5,Leandro Paredes,2020-2021,Paris S-G,DM,1,1,0.9447728263414963
6,Tanguy Ndombele,2018-2019,Lyon,CM,1,1,0.938561006572549
7,Khéphren Thuram,2021-2022,Nice,CM,1,1,0.9185013700842681
8,Aurélien Tchouaméni,2021-2022,Monaco,DM,1,1,0.9169776956463118
9,Marco Verratti,2019-2020,Paris S-G,CM,1,1,0.9166667632672009
10,Marco Verratti,2018-2019,Paris S-G,CM,1,1,0.9119472124480448
11,Marquinhos,2018-2019,Paris S-G,DM,1,1,0.9038894692976611
12,Tanguy Ndombele,2017-2018,2 Teams,CM,1,1,0.8856722122767374
13,Maxime Lopez,2018-2019,Marseille,CM,1,1,0.8833336647147569
14,Marco Verratti,2020-2021,Paris S-G,CM,1,1,0.8808514703973119
15,Marco Verratti,2021-2022,Paris S-G,CM,1,1,0.8793874685476271
16,Marquinhos,2019-2020,Paris S-G,DM,1,1,0.8756632032550211
17,Khéphren Thuram,2020-2021,Nice,CM,1,1,0.8690391428632301
18,Ibrahim Sangaré,2018-2019,Toulouse,DM,1,1,0.8586885213222375
19,Leandro Paredes,2019-2020,Paris S-G,DM,1,1,0.8492789970163691
20,Jordan Ferri,2017-2018,Lyon,CM,0,1,0.8374736821804325
