consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
1,Adrien Rabiot,2018-2019,Paris S-G,RM,0.9864154774623705,0.9985316,0.9825836684020229,1.0,2.0,1.0,1.3333333333333333
2,Adrien Rabiot,2017-2018,Paris S-G,RM,0.9423106700927059,0.99820197,0.9635877722434382,4.0,3.0,3.0,3.3333333333333335
3,Yves Bissouma,2017-2018,Lille,DM,0.9265173143371677,0.9996505,0.9645685430867134,7.0,1.0,2.0,3.3333333333333335
4,Tanguy Ndombele,2018-2019,Lyon,CM,0.9379559354977696,0.9971119,0.938561006572549,6.0,7.0,6.0,6.333333333333333
5,Leandro Paredes,2020-2021,Paris S-G,DM,0.8968697000707981,0.99588144,0.9447728263414963,12.0,8.0,5.0,8.333333333333334
6,Aurélien Tchouaméni,2021-2022,Monaco,DM,0.8785079245093321,0.9972662,0.9169776956463118,13.0,6.0,8.0,9.0
7,Khéphren Thuram,2021-2022,Nice,CM,0.8488605774963488,0.9981061,0.9185013700842681,19.0,4.0,7.0,10.0
8,Marco Verratti,2018-2019,Paris S-G,CM,0.9488309636837894,0.9856237,0.9119472124480448,3.0,19.0,10.0,10.666666666666666
9,Marco Verratti,2021-2022,Paris S-G,CM,0.9172671739283609,0.9916642,0.8793874685476271,8.0,12.0,15.0,11.666666666666666
10,Marco Verratti,2019-2020,Paris S-G,CM,0.9420635346454007,0.97890764,0.9166667632672009,5.0,28.0,9.0,14.0
11,Tanguy Ndombele,2017-2018,2 Teams,CM,0.8644902782745216,0.9859416,0.8856722122767374,14.0,18.0,12.0,14.666666666666666
12,Marquinhos,2018-2019,Paris S-G,DM,0.8585753061705264,0.9854667,0.9038894692976611,15.0,20.0,11.0,15.333333333333334
13,Fabinho,2017-2018,Monaco,CM,0.818329185221998,0.99745196,0.8189967951690986,23.0,5.0,24.0,17.333333333333332
14,Ibrahim Sangaré,2018-2019,Toulouse,DM,0.7778575979740132,0.9946061,0.8586885213222375,26.0,10.0,18.0,18.0
15,Marquinhos,2019-2020,Paris S-G,DM,0.8492985095807829,0.9833024,0.8756632032550211,18.0,21.0,16.0,18.333333333333332
16,Leandro Paredes,2019-2020,Paris S-G,DM,0.89848330138558,0.9800781,0.8492789970163691,11.0,26.0,19.0,18.666666666666668
17,Maxime Lopez,2018-2019,Marseille,CM,0.8317379782242394,0.9823976,0.8833336647147569,21.0,23.0,13.0,19.0
18,Valentin Rongier,2021-2022,Marseille,CM,0.7859017584015676,0.9943861,0.8329705938982718,25.0,11.0,21.0,19.0
19,Marco Verratti,2017-2018,Paris S-G,CM,0.9731951347658084,0.96089584,0.9462664880641638,2.0,52.0,4.0,19.333333333333332
20,Leandro Paredes,2021-2022,Paris S-G,DM,0.8384673657971603,0.9865248,0.8314035415556967,20.0,17.0,22.0,19.666666666666668
21,Marco Verratti,2020-2021,Paris S-G,CM,0.9102295771692205,0.97335094,0.8808514703973119,10.0,39.0,14.0,21.0
22,Maxime Lopez,2017-2018,Marseille,CM,0.8561218085061622,0.980317,0.822180183312192,16.0,24.0,23.0,21.0
23,Renato Sanches,2020-2021,Lille,CM,0.7928560860242237,0.9876366,0.7757409329748874,24.0,15.0,28.0,22.333333333333332
24,Renato Sanches,2021-2022,Lille,CM,0.8514530450822786,0.980261,0.7949269201697801,17.0,25.0,26.0,22.666666666666668
25,Khéphren Thuram,2020-2021,Nice,CM,0.7616700978644937,0.9827519,0.8690391428632301,30.0,22.0,17.0,23.0
26,Andre-Frank Zambo Anguissa,2017-2018,Marseille,DM,0.760345260772149,0.9871093,0.7523619700174117,31.0,16.0,33.0,26.666666666666668
27,Mario Lemina,2021-2022,Nice,DM,0.70910312171752,0.9957801,0.6424330407674285,38.0,9.0,41.0,29.333333333333332
28,Aurélien Tchouaméni,2020-2021,Monaco,DM,0.6987935233465716,0.9893757,0.7617727273271607,43.0,14.0,31.0,29.333333333333332
29,Ibrahim Sangaré,2019-2020,Toulouse,DM,0.6972510153422653,0.9903188,0.6819545065569999,44.0,13.0,38.0,31.666666666666668
30,Youssouf Fofana,2021-2022,Monaco,DM,0.7142087711763451,0.9767354,0.7623753410692963,35.0,31.0,30.0,32.0
31,Pape Matar Sarr,2020-2021,Metz,CM,0.707146113592763,0.9750473,0.7669592424300378,39.0,34.0,29.0,34.0
32,Jordan Ferri,2017-2018,Lyon,CM,0.9124371979686405,0.04074531,0.8374736821804325,9.0,86.0,20.0,38.333333333333336
33,Valentin Rongier,2019-2020,2 Teams,CM,0.6906855484663302,0.9743274,0.7246017253062405,46.0,35.0,34.0,38.333333333333336
34,Youri Tielemans,2017-2018,Monaco,CM,0.7135932272640827,0.97186035,0.6151757460331346,36.0,40.0,44.0,40.0
35,Maxime Lopez,2019-2020,Marseille,CM,0.7004858108263448,0.9717972,0.6491311702184943,42.0,41.0,40.0,41.0
36,Mattéo Guendouzi,2021-2022,Marseille,CM,0.766845865465117,0.9525946,0.6691237267847897,28.0,57.0,39.0,41.333333333333336
