rank,Player,Season,Team,Role,Tier_league,pred,proba_1
1,Neymar,2017-2018,Paris S-G,LW,1,1,0.9999999998884075
2,Neymar,2018-2019,Paris S-G,LW,1,1,0.9999999985860879
3,Neymar,2019-2020,Paris S-G,LW,1,1,0.9998353369424244
4,Javier Pastore,2017-2018,Paris S-G,AM,1,1,0.9997928090202496
5,Julian Draxler,2017-2018,Paris S-G,LW,1,1,0.9995079657181657
6,Florian Thauvin,2017-2018,Marseille,RW,1,1,0.9987672968889363
7,Moussa Diaby,2018-2019,Paris S-G,RW,1,1,0.9982466613186349
8,Aleksandr Golovin,2020-2021,Monaco,AM,1,1,0.9964140942302413
9,Julian Draxler,2019-2020,Paris S-G,LW,1,1,0.9934162907862625
10,Jonathan Ikone,2019-2020,Lille,RW,1,1,0.992935466527801
11,Martin Terrier,2018-2019,Lyon,LW,0,1,0.988047275830896
12,Julian Draxler,2018-2019,Paris S-G,LW,1,1,0.9879636202623026
13,Nicolas Pépé,2018-2019,Lille,RW,1,1,0.987372963792445
14,Maxwel Cornet,2018-2019,Lyon,LW,1,1,0.987322090629506
15,Houssem Aouar,2017-2018,Lyon,AM,1,1,0.9872806465214996
16,Rachid Ghezzal,2017-2018,Monaco,RW,1,1,0.9865465840347114
17,Yassine Benzia,2017-2018,Lille,AM,0,1,0.9755661061421474
18,Neymar,2020-2021,Paris S-G,LW,1,1,0.9751015173589926
19,Nabil Fekir,2018-2019,Lyon,AM,1,1,0.9714689367452802
20,Houssem Aouar,2019-2020,Lyon,AM,1,1,0.9698608247561281
