rank,Player,Season,Team,Role,Tier_league,pred,proba_1
1,David Costa,2021-2022,Lens,AM,0,1,0.8747848771632467
2,Florian Thauvin,2017-2018,Marseille,RW,1,1,0.8703970858416231
3,Malcom,2017-2018,Bordeaux,RW,0,1,0.8342185684139429
4,Lovro Majer,2021-2022,Rennes,AM,1,1,0.8330927536343326
5,Moussa Diaby,2018-2019,Paris S-G,RW,1,1,0.8320369055014173
6,Neymar,2018-2019,Paris S-G,LW,1,1,0.8262196669334247
7,Maxwel Cornet,2018-2019,Lyon,LW,1,1,0.8112520124397751
8,Jeff Reine-Adélaïde,2019-2020,2 Teams,AM,0,1,0.8064939715930678
9,Neymar,2019-2020,Paris S-G,LW,1,1,0.8011005952407153
10,Julian Draxler,2020-2021,Paris S-G,LW,1,1,0.7967286435124772
11,Neymar,2017-2018,Paris S-G,LW,1,1,0.795835587824444
12,Yusuf Yazıcı,2020-2021,Lille,AM,0,1,0.7951361355552937
13,Jonathan Ikone,2019-2020,Lille,RW,1,1,0.7939218660713505
14,Julian Draxler,2017-2018,Paris S-G,LW,1,1,0.7934727013512621
15,Houssem Aouar,2020-2021,Lyon,AM,1,1,0.7927128477350527
16,Nicolas Pépé,2018-2019,Lille,RW,1,1,0.7883676927521038
17,Allan Saint-Maximin,2017-2018,2 Teams,LW,1,1,0.7853773307130278
18,Sofiane Diop,2021-2022,Monaco,LW,0,1,0.7762581613052771
19,Adil Aouchiche,2020-2021,Saint-Étienne,AM,0,1,0.7733754422532038
20,Adam Ounas,2019-2020,Nice,RW,0,1,0.773055473275008
