consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
1,Neymar,2018-2019,Paris S-G,LW,0.9999999985860879,0.9925373,0.8262196669334247,2.0,2.0,6.0,3.3333333333333335
2,Florian Thauvin,2017-2018,Marseille,RW,0.9987672968889363,0.982508,0.8703970858416231,6.0,7.0,2.0,5.0
3,Neymar,2017-2018,Paris S-G,LW,0.9999999998884075,0.98810345,0.795835587824444,1.0,4.0,11.0,5.333333333333333
4,Julian Draxler,2017-2018,Paris S-G,LW,0.9995079657181657,0.98283666,0.7934727013512621,5.0,6.0,14.0,8.333333333333334
5,Jonathan Ikone,2019-2020,Lille,RW,0.992935466527801,0.98843014,0.7939218660713505,10.0,3.0,13.0,8.666666666666666
6,Moussa Diaby,2018-2019,Paris S-G,RW,0.9982466613186349,0.94072545,0.8320369055014173,7.0,16.0,5.0,9.333333333333334
7,Nicolas Pépé,2018-2019,Lille,RW,0.987372963792445,0.9939231,0.7883676927521038,13.0,1.0,16.0,10.0
8,Maxwel Cornet,2018-2019,Lyon,LW,0.987322090629506,0.9375643,0.8112520124397751,14.0,17.0,7.0,12.666666666666666
9,Neymar,2019-2020,Paris S-G,LW,0.9998353369424244,0.89516085,0.8011005952407153,3.0,29.0,9.0,13.666666666666666
10,Aleksandr Golovin,2020-2021,Monaco,AM,0.9964140942302413,0.95570165,0.7560889656727099,8.0,13.0,25.0,15.333333333333334
11,Nabil Fekir,2018-2019,Lyon,AM,0.9714689367452802,0.98761207,0.7334055308065436,19.0,5.0,31.0,18.333333333333332
12,Lovro Majer,2021-2022,Rennes,AM,0.9690039529167951,0.8771309,0.8330927536343326,21.0,34.0,4.0,19.666666666666668
13,Houssem Aouar,2020-2021,Lyon,AM,0.8850157124979552,0.96178436,0.7927128477350527,34.0,12.0,15.0,20.333333333333332
14,Javier Pastore,2017-2018,Paris S-G,AM,0.9997928090202496,0.91506684,0.7137187262947375,4.0,23.0,35.0,20.666666666666668
15,Jonathan Ikone,2018-2019,Lille,RW,0.8861417613712879,0.9684208,0.7637554788653901,33.0,10.0,22.0,21.666666666666668
16,Houssem Aouar,2017-2018,Lyon,AM,0.9872806465214996,0.9173632,0.7143502897061196,15.0,21.0,34.0,23.333333333333332
17,Neymar,2020-2021,Paris S-G,LW,0.9751015173589926,0.95176095,0.7087687413456563,18.0,14.0,38.0,23.333333333333332
18,Julian Draxler,2018-2019,Paris S-G,LW,0.9879636202623026,0.9670797,0.6695076005660955,12.0,11.0,56.0,26.333333333333332
19,Martin Terrier,2021-2022,Rennes,LW,0.9360059243997616,0.87074876,0.7710432634277599,25.0,35.0,21.0,27.0
20,Julian Draxler,2020-2021,Paris S-G,LW,0.9093496205298687,0.84263563,0.7967286435124772,32.0,43.0,10.0,28.333333333333332
21,Rachid Ghezzal,2017-2018,Monaco,RW,0.9865465840347114,0.9112175,0.6739676317072532,16.0,24.0,53.0,31.0
22,Florian Thauvin,2018-2019,Marseille,RW,0.818752300872444,0.9738754,0.6963638586659991,42.0,8.0,44.0,31.333333333333332
23,Thomas Lemar,2017-2018,Monaco,AM,0.8484140563444973,0.9204506,0.6966114609048651,38.0,18.0,43.0,33.0
24,Keita Baldé,2017-2018,Monaco,LW,0.9184092615603451,0.8639869,0.704214694852331,28.0,38.0,41.0,35.666666666666664
25,David Costa,2021-2022,Lens,AM,0.824071221087553,0.22469142,0.8747848771632467,41.0,72.0,1.0,38.0
