Player,Season,Team,Role,p_tier_logistic,p_tier_mlp,p_tier_xgb,p_tier_mean
Kylian Mbappé,2021-2022,Paris S-G,CF,0.9929210139276244,0.9999848736294812,0.92502195,0.9726426113291039
Neymar,2017-2018,Paris S-G,SS,0.9982856896748724,0.9996315340651537,0.92383283,0.9739166858356545
Kylian Mbappé,2020-2021,Paris S-G,CF,0.9904320236631858,0.9999699467075756,0.9194071,0.969936366552827
Memphis,2017-2018,Lyon,CF,0.8654831138055129,0.9995309789067641,0.9137537,0.9262559270158985
Memphis,2020-2021,Lyon,CF,0.9116358553501555,0.9999332043000514,0.90548384,0.9390176338487546
Neymar,2019-2020,Paris S-G,SS,0.994145294260924,0.999957477763903,0.8941241,0.9627422875654554
Kylian Mbappé,2018-2019,Paris S-G,CF,0.9953133333705492,0.9994560410788046,0.8883585,0.9610426160757083
Memphis,2018-2019,Lyon,CF,0.8030909769550572,0.9994055918751977,0.88016003,0.8942188675110351
Kylian Mbappé,2017-2018,2 Teams,CF,0.9760161640698946,0.9995443256807137,0.87276417,0.9494415533068129
Kylian Mbappé,2019-2020,Paris S-G,CF,0.9970597826948363,0.9997927389966942,0.85521126,0.9506879265420336
Neymar,2018-2019,Paris S-G,SS,0.9961055169149661,0.9998305453619845,0.8546092,0.9501817512315482
Christopher Nkunku,2017-2018,Paris S-G,CF,0.8401153143291858,0.9925196420971244,0.85040945,0.8943481348577101
Memphis,2019-2020,Lyon,CF,0.8819983257509704,0.9979930619082558,0.84034383,0.9067784068762972
Amine Gouiri,2020-2021,Nice,CF,0.880206517406784,0.9998957620025288,0.8393632,0.9064884989210445
Karl Toko Ekambi,2017-2018,Angers,CF,0.8070765361737834,0.9724756620742366,0.82379353,0.8677819095707308
Amine Gouiri,2021-2022,Nice,CF,0.8974235325506882,0.9999395069883935,0.81643164,0.904598227039252
Alassane Pléa,2017-2018,Nice,CF,0.7047950350645754,0.9923643178280168,0.8143156,0.8371583233256984
Christopher Nkunku,2018-2019,Paris S-G,CF,0.8978350899708796,0.9904098390503002,0.79598373,0.8947428869226178
Mauro Icardi,2019-2020,Paris S-G,CF,0.887039230437714,0.993362415090616,0.78341746,0.8879397029436474
Hugo Ekitike,2021-2022,Reims,CF,0.8158300691282456,0.9766035844564269,0.7669948,0.853142809308752
Jonathan David,2020-2021,Lille,CF,0.7630166898297381,0.9726992994636837,0.7624417,0.8327192280099674
Neymar,2020-2021,Paris S-G,SS,0.9521027519383823,0.9999629743283007,0.75282556,0.9016304281507534
Rafael Leão,2018-2019,Lille,SS,0.7636936914991853,0.9832684538533214,0.75126135,0.8327411662817479
Mauro Icardi,2020-2021,Paris S-G,CF,0.8286448897099568,0.9999102972032231,0.7434085,0.8573212293538012
Boubakary Soumaré,2019-2020,Lille,CF,0.6499731494473393,0.9857305173205534,0.7146611,0.783454929378767
Randal Kolo Muani,2020-2021,Nantes,CF,0.5819759139797951,0.9652480840914301,0.69169176,0.7463052514398999
Myron Boadu,2021-2022,Monaco,CF,0.5957956916295583,0.9445037019462108,0.6882259,0.7428417728481628
Moise Kean,2020-2021,Paris S-G,CF,0.6285396620626515,0.9730726717725835,0.684047,0.7618864391847024
Boubakary Soumaré,2020-2021,Lille,CF,0.8582284222908004,0.9964152775715036,0.63783956,0.8308277518675534
Serhou Guirassy,2020-2021,Rennes,CF,0.6164222058581543,0.994255959973492,0.63061494,0.7470977007278075
Boulaye Dia,2018-2019,Reims,CF,0.5125191234324156,0.9477891819047436,0.6194917,0.6932666672316287
Elye Wahi,2021-2022,Montpellier,CF,0.49528188873385565,0.9175290527565187,0.6126127,0.6751412219315246
Marcus Thuram,2018-2019,Guingamp,CF,0.5941356840208245,0.9920007370467263,0.6022932,0.7294765381359508
Boulaye Dia,2019-2020,Reims,CF,0.5515406170878436,0.8755338266569506,0.6006223,0.675898913359369
