Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best
Jean-Clair Todibo,2021-2022,Nice,CB,1,0.9813359,1,1.0
William Saliba,2021-2022,Marseille,CB,1,0.97573996,2,0.9959183673469387
Presnel Kimpembe,2020-2021,Paris S-G,CB,1,0.97487587,3,0.9918367346938776
Nayef Aguerd,2020-2021,Rennes,CB,1,0.9725293,4,0.9877551020408163
Presnel Kimpembe,2019-2020,Paris S-G,CB,1,0.9713037,5,0.9836734693877551
Marquinhos,2018-2019,Paris S-G,CB,1,0.9690972,6,0.9795918367346939
Benoît Badiashile,2021-2022,Monaco,CB,1,0.9645056,7,0.9755102040816327
Thilo Kehrer,2020-2021,Paris S-G,CB,1,0.96350867,8,0.9714285714285714
Thilo Kehrer,2018-2019,Paris S-G,CB,1,0.9630545,9,0.9673469387755103
Sven Botman,2020-2021,Lille,CB,1,0.96179503,10,0.963265306122449
Gabriel Magalhães,2019-2020,Lille,CB,1,0.9598219,11,0.9591836734693877
Presnel Kimpembe,2017-2018,Paris S-G,CB,1,0.95763767,12,0.9551020408163265
Benoît Badiashile,2019-2020,Monaco,CB,1,0.9575221,13,0.9510204081632653
Marquinhos,2019-2020,Paris S-G,CB,1,0.94467676,14,0.9469387755102041
Danilo Pereira,2020-2021,Paris S-G,CB,1,0.9435183,15,0.9428571428571428
Presnel Kimpembe,2021-2022,Paris S-G,CB,1,0.9426966,16,0.9387755102040817
Axel Disasi,2020-2021,Monaco,CB,1,0.94131947,17,0.9346938775510204
Marquinhos,2020-2021,Paris S-G,CB,1,0.9409837,18,0.9306122448979591
Stanley N'Soki,2019-2020,Nice,CB,1,0.9286917,19,0.926530612244898
Axel Disasi,2019-2020,Reims,CB,1,0.9263138,20,0.9224489795918367
