Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Pol Lirola,2021-2022,Marseille,RB,1,0.9601192859298011,1,1.0,0.9592689829845146,4,0.9883720930232558
Thomas Meunier,2017-2018,Paris S-G,RB,1,0.958675195022705,2,0.9961240310077519,0.9428340774468071,5,0.9844961240310077
Djibril Sidibé,2017-2018,Monaco,RB,1,0.9407907976479499,3,0.9922480620155039,0.9657880217785251,1,1.0
Achraf Hakimi,2021-2022,Paris S-G,RB,1,0.937463913305757,4,0.9883720930232558,0.9398282844926044,8,0.9728682170542635
Kenny Tete,2018-2019,Lyon,RB,1,0.9356403287359555,5,0.9844961240310077,0.9605658469348843,3,0.9922480620155039
Thomas Meunier,2018-2019,Paris S-G,RB,1,0.9286640422251473,6,0.9806201550387597,0.9373788567400515,9,0.9689922480620154
Vanderson,2021-2022,Monaco,RB,1,0.9085682195642217,7,0.9767441860465116,0.9419954514225222,6,0.9806201550387597
Juan Bernat,2019-2020,Paris S-G,LB,1,0.9060675358144448,8,0.9728682170542635,0.9055261426438207,11,0.9612403100775194
Layvin Kurzawa,2017-2018,Paris S-G,LB,1,0.8933718333654602,9,0.9689922480620154,0.9624090033703243,2,0.9961240310077519
Layvin Kurzawa,2018-2019,Paris S-G,LB,1,0.8826665033132397,10,0.9651162790697675,0.893418191050892,16,0.9418604651162791
Ismail Jakobs,2021-2022,Monaco,LB,1,0.8738910200949117,11,0.9612403100775194,0.904652803744706,13,0.9534883720930233
Kenny Tete,2019-2020,Lyon,RB,1,0.8677827084198507,12,0.9573643410852714,0.940631473789832,7,0.9767441860465116
Layvin Kurzawa,2019-2020,Paris S-G,LB,1,0.8511172896335484,13,0.9534883720930233,0.9053938505233912,12,0.9573643410852714
Ferland Mendy,2018-2019,Lyon,LB,1,0.8487398573416921,14,0.9496124031007752,0.8893324472661878,17,0.937984496124031
Thomas Meunier,2019-2020,Paris S-G,RB,1,0.8405919663653963,15,0.9457364341085271,0.9172553192849529,10,0.9651162790697675
Malo Gusto,2021-2022,Lyon,RB,1,0.838180456455168,16,0.9418604651162791,0.8996178254272836,14,0.9496124031007752
Ferland Mendy,2017-2018,Lyon,LB,1,0.7888723695020848,17,0.937984496124031,0.8599753039060596,22,0.9186046511627907
Mitchel Bakker,2020-2021,Paris S-G,LB,1,0.7879748758163481,18,0.9341085271317829,0.8755013843025853,19,0.9302325581395349
Layvin Kurzawa,2020-2021,Paris S-G,LB,1,0.7592367324592227,19,0.9302325581395349,0.8642139552641778,21,0.9224806201550387
Adrien Truffert,2020-2021,Rennes,LB,0,0.7554722966457336,20,0.9263565891472868,0.8824946366675488,18,0.9341085271317829
Juan Bernat,2018-2019,Paris S-G,LB,1,0.7522336750368526,21,0.9224806201550387,0.8955877703476026,15,0.9457364341085271
Yuri Berchiche,2017-2018,Paris S-G,LB,1,0.7507563211814101,22,0.9186046511627907,0.835791700974093,23,0.9147286821705426
Ramy Bensebaini,2017-2018,Rennes,LB,1,0.7351634081163809,23,0.9147286821705426,0.8151258129444489,26,0.9031007751937985
Ruben Aguilar,2019-2020,Monaco,RB,1,0.7308214722418992,24,0.9108527131782945,0.6949290654193386,40,0.8488372093023255
