Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best
Pol Lirola,2021-2022,Marseille,RB,1,0.9601192859298011,1,1.0
Thomas Meunier,2017-2018,Paris S-G,RB,1,0.958675195022705,2,0.9961240310077519
Djibril Sidibé,2017-2018,Monaco,RB,1,0.9407907976479499,3,0.9922480620155039
Achraf Hakimi,2021-2022,Paris S-G,RB,1,0.937463913305757,4,0.9883720930232558
Kenny Tete,2018-2019,Lyon,RB,1,0.9356403287359555,5,0.9844961240310077
Thomas Meunier,2018-2019,Paris S-G,RB,1,0.9286640422251473,6,0.9806201550387597
Vanderson,2021-2022,Monaco,RB,1,0.9085682195642217,7,0.9767441860465116
Juan Bernat,2019-2020,Paris S-G,LB,1,0.9060675358144448,8,0.9728682170542635
Layvin Kurzawa,2017-2018,Paris S-G,LB,1,0.8933718333654602,9,0.9689922480620154
Layvin Kurzawa,2018-2019,Paris S-G,LB,1,0.8826665033132397,10,0.9651162790697675
Ismail Jakobs,2021-2022,Monaco,LB,1,0.8738910200949117,11,0.9612403100775194
Kenny Tete,2019-2020,Lyon,RB,1,0.8677827084198507,12,0.9573643410852714
Layvin Kurzawa,2019-2020,Paris S-G,LB,1,0.8511172896335484,13,0.9534883720930233
Ferland Mendy,2018-2019,Lyon,LB,1,0.8487398573416921,14,0.9496124031007752
Thomas Meunier,2019-2020,Paris S-G,RB,1,0.8405919663653963,15,0.9457364341085271
Malo Gusto,2021-2022,Lyon,RB,1,0.838180456455168,16,0.9418604651162791
Ferland Mendy,2017-2018,Lyon,LB,1,0.7888723695020848,17,0.937984496124031
Mitchel Bakker,2020-2021,Paris S-G,LB,1,0.7879748758163481,18,0.9341085271317829
Layvin Kurzawa,2020-2021,Paris S-G,LB,1,0.7592367324592227,19,0.9302325581395349
Adrien Truffert,2020-2021,Rennes,LB,0,0.7554722966457336,20,0.9263565891472868
